keyword,search_volume,cpc,word_count,num_competitors,best_position,domains
"google google translate",45500000,2.62,3,1,18,"quora.com"
"google translate english spanish",6120000,2.71,4,1,17,"quora.com"
"google translate english to spanish",6120000,2.71,5,1,25,"quora.com"
"google translate from english to spanish",6120000,2.71,6,1,7,"quora.com"
"google translation english to spanish",6120000,2.71,5,1,29,"quora.com"
"google translator english to spanish",6120000,2.71,5,1,15,"quora.com"
"translate google english to spanish",6120000,2.71,5,1,22,"quora.com"
"google translate spanish english",2240000,3.36,4,1,23,"quora.com"
"google translate spanish to english",2240000,3.36,5,1,25,"quora.com"
"google translator spanish to english",2240000,3.36,5,1,28,"quora.com"
"rate my professor website",1830000,0.00,4,1,4,"quora.com"
"doodle games google",1500000,0.21,3,1,48,"quora.com"
"doodle google games",1500000,0.21,3,1,65,"quora.com"
"google doc form",1500000,2.02,3,1,18,"quora.com"
"google doodle game",1500000,0.21,3,1,78,"quora.com"
"google doodle games",1500000,0.21,3,1,75,"quora.com"
"google doodles games",1500000,0.21,3,1,56,"quora.com"
"google game doodle",1500000,0.21,3,1,21,"quora.com"
"google games doodle",1500000,0.21,3,1,44,"quora.com"
"google pics search",1500000,1.78,3,1,28,"quora.com"
"google image search by image",1220000,1.66,5,1,72,"quora.com"
"google pic search",1220000,1.66,3,1,47,"quora.com"
"search image on google",1220000,1.66,4,1,19,"quora.com"
"american marketing association",1000000,0.53,3,1,54,"mapquest.com"
"google artificial intelligence",1000000,1.15,3,1,43,"quora.com"
"website for realtor com",1000000,0.21,4,1,58,"quora.com"
"website for realtor.com",1000000,0.21,3,1,35,"quora.com"
"chat on google",823000,2.39,3,1,10,"quora.com"
"google passwords keeper",823000,4.03,3,1,20,"quora.com"
"messenger messenger facebook messenger",823000,2.11,4,1,28,"quora.com"
"nearest plumber to me",823000,34.19,4,1,19,"quora.com"
"plumber close to me",823000,34.19,4,1,20,"quora.com"
"plumbers close to me",823000,34.19,4,1,12,"quora.com"
"solitaire google game",823000,3.23,3,1,12,"quora.com"
"wayback machine web",823000,10.71,3,1,30,"quora.com"
"wayback machine website",823000,10.71,3,1,8,"quora.com"
"wayback machine websites",823000,10.71,3,1,9,"quora.com"
"web back machine",823000,10.71,3,1,6,"quora.com"
"web internet archive",823000,10.71,3,1,8,"quora.com"
"web wayback machine",823000,10.71,3,1,41,"quora.com"
"website back machine",823000,10.71,3,1,5,"quora.com"
"website internet archive",823000,10.71,3,1,11,"quora.com"
"website wayback machine",823000,10.71,3,1,47,"quora.com"
"wi fi speed test website",823000,2.95,5,1,96,"quora.com"
"email with google",673000,6.16,3,1,15,"quora.com"
"google and gmail",673000,6.16,3,1,20,"quora.com"
"google mail emails",673000,6.16,3,1,39,"quora.com"
"pac man games on google",673000,0.21,5,1,54,"quora.com"
"ferguson plumbers supply",301000,1.50,3,1,54,"servicetitan.com"
"plumbers supply ferguson",301000,1.50,3,1,86,"servicetitan.com"
"facebook and advertising",49500,29.03,3,1,80,"servicetitan.com"
"ferguson hvac supply",49500,4.99,3,1,71,"servicetitan.com"
"ferguson supply hvac",49500,4.99,3,1,88,"servicetitan.com"
"california contractor license",40500,6.96,3,1,29,"servicetitan.com"
"california contractors license",40500,6.96,3,1,32,"servicetitan.com"
"california state contractors license",40500,6.96,4,1,18,"servicetitan.com"
"contractors license ca",40500,6.96,3,1,10,"servicetitan.com"
"state contractors license california",40500,6.96,4,2,23,"servicetitan.com|getjobber.com"
"gps plumbing supply",33100,0.94,3,1,41,"getjobber.com"
"how make web",33100,12.65,3,1,91,"getjobber.com"
"how to i make a website",33100,12.65,6,1,13,"getjobber.com"
"google ad adwords",27100,6.98,3,1,79,"getjobber.com"
"google local service ads",27100,5.58,4,1,12,"getjobber.com"
"google local services ads",27100,5.58,4,1,12,"getjobber.com"
"phone number for facebook",27100,3.05,4,1,76,"housecallpro.com"
"contractors state license board california check",22200,2.07,6,1,87,"servicetitan.com"
