keyword,search_volume,cpc,competition,num_competitors,best_position,word_count,domains
"g-analytics",368000,9.70,0.0400,1,36,1,"bird.marketing"
"scopin",301000,0.27,0.1000,1,14,1,"scorpion.co"
"scorpion",301000,0.27,0.1000,1,3,1,"scorpion.co"
"scorpions",301000,0.27,0.1000,1,52,1,"scorpion.co"
"google business profile",246000,17.55,0.1100,1,55,3,"valveandmeter.com"
"google business profiles",246000,17.55,0.1100,1,44,3,"valveandmeter.com"
"gmb google",201000,14.80,0.1000,1,47,2,"valveandmeter.com"
"google gmb",201000,14.80,0.1000,1,41,2,"valveandmeter.com"
"google google business",201000,14.80,0.1000,1,71,3,"valveandmeter.com"
"angieslist",135000,10.32,0.7700,1,9,1,"hookagency.com"
"hvac contractor",135000,15.87,0.0100,1,28,2,"hookagency.com"
"business facebook page",110000,6.14,0.3600,1,10,3,"scorpion.co"
"business website facebook",110000,5.53,0.3300,1,30,3,"scorpion.co"
"company facebook page",110000,5.53,0.3300,1,11,3,"scorpion.co"
"company pages on facebook",110000,5.53,0.3300,1,17,4,"scorpion.co"
"create a facebook business page",110000,5.53,0.3300,1,10,5,"scorpion.co"
"creating a fb business page",110000,5.53,0.3300,1,14,5,"scorpion.co"
"digital marketing",110000,15.16,0.4700,1,57,2,"scorpion.co"
"digitas marketing",110000,15.16,0.4700,1,64,2,"scorpion.co"
"facebook business page",110000,5.53,0.3300,1,14,3,"scorpion.co"
"fb business page",110000,5.53,0.3300,1,12,3,"scorpion.co"
"seo service",110000,33.32,0.0400,1,78,2,"scorpion.co"
"seo services",110000,33.32,0.0400,1,67,2,"1seo.com"
"revenues",74000,14.85,0.0000,1,95,1,"scorpion.co"
"gifs for memes",74000,0.49,0.0000,1,56,3,"hookagency.com"
"memes and gif",74000,0.49,0.0000,1,66,3,"hookagency.com"
"facebook sign page",60500,0.00,0.0000,1,55,3,"scorpion.co"
"marketing agency",60500,14.16,0.1100,1,49,2,"scorpion.co"
"servicetitan login",60500,30.24,0.0000,1,56,2,"scorpion.co"
"agencies marketing",60500,14.16,0.1100,1,92,2,"hookagency.com"
"hvac companies",60500,21.87,0.2700,1,9,2,"hookagency.com"
"marketing agencies",60500,14.16,0.1100,1,32,2,"hookagency.com"
"pictures for meme",60500,0.15,0.0000,1,68,3,"hookagency.com"
"define revenue",49500,1.45,0.0300,1,49,2,"scorpion.co"
"digital marketing ads agency",49500,18.43,0.0700,1,68,4,"scorpion.co"
"digital marketing advertising agency",49500,18.43,0.0700,1,76,4,"scorpion.co"
"digital marketing agency",49500,18.43,0.0700,1,85,3,"scorpion.co"
"revenue meaning",49500,1.45,0.0300,1,81,2,"scorpion.co"
"404",49500,2.30,0.0400,1,94,1,"hookagency.com"
"color combination scheme",49500,1.51,0.0100,1,31,3,"hookagency.com"
"heating and cooling techs",49500,30.82,0.5900,1,49,4,"hookagency.com"
"hvac service",49500,29.13,0.3800,1,36,2,"hookagency.com"
"ipsum generators",49500,10.00,0.0000,1,92,2,"hookagency.com"
"ipsum lorem generator",49500,10.00,0.0000,1,31,3,"hookagency.com"
"b plan template",40500,10.02,0.5700,1,70,3,"scorpion.co"
"business plan template",40500,10.02,0.5700,1,74,3,"scorpion.co"
"facebook and sign up",40500,0.52,0.0000,1,79,4,"scorpion.co"
"home team pest defense",40500,7.29,0.2800,1,42,4,"scorpion.co"
"sign up at facebook",40500,0.52,0.0000,1,81,4,"scorpion.co"
"air conditioning contractor",40500,16.22,0.0000,1,46,3,"hookagency.com"
"angie list",40500,9.85,0.7600,1,36,2,"hookagency.com"
"seo agency",40500,40.38,0.0700,1,40,2,"1seo.com"
"local service ads",40500,3.57,0.3700,1,24,3,"relentless-digital.com"
"local services ads",40500,3.57,0.3700,1,23,3,"relentless-digital.com"
"seo optimization agencies",40500,40.38,0.0700,1,77,3,"helium-seo.com"
"optimizing search",33100,22.80,0.2900,1,53,2,"scorpion.co"
"search engine optimization company",33100,45.66,0.0900,1,15,4,"scorpion.co"
"seo companies",33100,45.66,0.0900,1,84,2,"scorpion.co"
"seo company",33100,45.66,0.0900,3,50,2,"1seo.com|helium-seo.com|scorpion.co"
"1 hour air conditioning and heating",33100,18.13,0.5300,1,41,6,"hookagency.com"
"how much does an electrician make",33100,13.18,0.0100,1,46,6,"hookagency.com"
"hvac contractors",33100,20.71,0.0300,1,13,2,"hookagency.com"
"lsa",33100,0.51,0.0200,1,15,1,"hookagency.com"
"one hour air conditioning heating",33100,18.13,0.5300,1,78,5,"hookagency.com"
"one hour heating and air",33100,18.13,0.5300,1,36,5,"hookagency.com"
"seo agency near me",33100,27.92,0.0300,1,5,4,"1seo.com"
"seo firms near me",33100,27.92,0.0300,2,6,4,"1seo.com|helium-seo.com"
"seo services near me",33100,27.92,0.0300,2,16,4,"helium-seo.com|1seo.com"
"search optimization companies",33100,45.66,0.0900,1,56,3,"helium-seo.com"
"digital marketing agency near me",27100,14.97,0.0500,1,31,5,"scorpion.co"
"google ad adwords",27100,6.98,0.5100,1,76,3,"scorpion.co"
"google adwords google adwords google adwords",27100,6.98,0.5100,1,34,6,"scorpion.co"
"internet marketing services",27100,17.15,0.0100,2,7,3,"scorpion.co|1seo.com"
"near me digital marketing agency",27100,14.97,0.0500,1,71,5,"scorpion.co"
"youtube more views video",27100,0.00,0.0000,1,70,4,"scorpion.co"
"what is hvac",27100,9.64,0.0500,1,75,3,"hookagency.com"
"who is smartest man in the world",27100,0.00,0.0000,1,55,7,"hookagency.com"
"who is smartest person in the world",27100,0.00,0.0000,1,45,7,"hookagency.com"
"who is smartest person in world",27100,0.00,0.0000,1,51,6,"hookagency.com"
"who is the brainiest person in the world",27100,0.00,0.0000,1,22,8,"hookagency.com"
"who is the most intelligent person in the world",27100,0.00,0.0000,1,47,9,"hookagency.com"
"who is the most smartest person in the world",27100,0.00,0.0000,1,27,9,"hookagency.com"
"who is the smartest man in the world",27100,0.00,0.0000,1,60,8,"hookagency.com"
"who is the smartest person in the world",27100,0.00,0.0000,1,30,8,"hookagency.com"
"who is the smartest person on earth",27100,0.00,0.0000,1,21,7,"hookagency.com"
"who is the the smartest person in the world",27100,0.00,0.0000,1,39,9,"hookagency.com"
"who smartest person in the world",27100,0.00,0.0000,1,39,6,"hookagency.com"
"who was the most intelligent person in the world",27100,0.00,0.0000,1,53,9,"hookagency.com"
"who was the smartest man in the world",27100,0.00,0.0000,1,55,8,"hookagency.com"
"who was the smartest person in the world",27100,0.00,0.0000,1,33,8,"hookagency.com"
"google local service ads",27100,5.58,0.3100,1,21,4,"relentless-digital.com"
"google local services ads",27100,5.58,0.3100,1,19,4,"relentless-digital.com"
"click through rate",27100,3.19,0.0200,1,50,3,"bird.marketing"
"click-through rate",27100,3.19,0.0200,1,50,2,"bird.marketing"
"ctr rate",27100,3.19,0.0200,1,77,2,"bird.marketing"
"keyword research search engine optimization",27100,13.81,0.0400,1,43,5,"valveandmeter.com"
"research keywords seo",27100,13.81,0.0400,1,81,3,"valveandmeter.com"
"ads for google",22200,10.73,0.4800,1,65,3,"scorpion.co"
"adwords google advertising",22200,10.73,0.4800,1,38,3,"scorpion.co"
"digital marketing jobs",22200,3.79,0.2900,1,59,3,"scorpion.co"
"google adwords ads",22200,10.73,0.4800,1,43,3,"scorpion.co"
"job in digital marketing",22200,3.79,0.2900,1,79,4,"scorpion.co"
"seo companies near me",22200,36.08,0.0600,1,62,4,"scorpion.co"
"the group scorpions",22200,0.94,0.0000,1,78,3,"scorpion.co"
"the scorpion",22200,0.94,0.0000,1,29,2,"scorpion.co"
"the scorpions",22200,0.94,0.0000,1,66,2,"scorpion.co"
"web design company",22200,30.56,0.1300,1,96,3,"scorpion.co"
"websites design company",22200,30.56,0.1300,1,91,3,"scorpion.co"
"what is a revenue",22200,2.52,0.0300,1,40,4,"scorpion.co"
"what is revenue",22200,2.52,0.0300,1,15,3,"scorpion.co"
"what is revenues",22200,2.52,0.0300,1,35,3,"scorpion.co"
"404 errors",22200,0.98,0.0100,1,91,2,"hookagency.com"
"brainiest man in the world",22200,0.00,0.0000,1,60,5,"hookagency.com"
"brainiest person in the world",22200,0.00,0.0000,1,36,5,"hookagency.com"
"cleverest man in the world",22200,0.00,0.0000,1,55,5,"hookagency.com"
"cleverest person in the world",22200,0.00,0.0000,1,35,5,"hookagency.com"
"electronic memes",22200,0.00,0.0000,1,87,2,"hookagency.com"
"most intelligent person in the world",22200,0.00,0.0000,1,29,6,"hookagency.com"
"most intelligent person of the world",22200,0.00,0.0000,1,43,6,"hookagency.com"
"most intelligent person on earth",22200,0.00,0.0000,1,39,5,"hookagency.com"
"smart people on earth",22200,0.00,0.0000,1,59,4,"hookagency.com"
"smartest men in the world",22200,0.00,0.0000,1,53,5,"hookagency.com"
"smartest person in the world",22200,0.00,0.0000,1,41,5,"hookagency.com"
"smartest person of the world",22200,0.00,0.0000,1,40,5,"hookagency.com"
"smartest person on earth",22200,0.00,0.0000,1,22,4,"hookagency.com"
"smartest person on the planet",22200,0.00,0.0000,1,21,5,"hookagency.com"
"the cleverest person in the world",22200,0.00,0.0000,1,36,6,"hookagency.com"
"the most intelligent person in the world",22200,0.00,0.0000,1,36,7,"hookagency.com"
"the smartest man on the planet",22200,0.00,0.0000,1,73,6,"hookagency.com"
"the smartest person in the world",22200,0.00,0.0000,1,36,6,"hookagency.com"
"the smartest person on earth",22200,0.00,0.0000,1,20,5,"hookagency.com"
"world smartest person",22200,0.00,0.0000,1,56,3,"hookagency.com"
"seo company near me",22200,36.08,0.0600,1,30,4,"1seo.com"
"email marketing",22200,67.69,0.4000,1,73,2,"relentless-digital.com"
"marketing by email",22200,67.69,0.4000,1,70,3,"relentless-digital.com"
"computer software for graphic design",22200,10.67,0.4900,1,13,5,"bird.marketing"
"g sc",22200,0.40,0.0000,1,7,2,"bird.marketing"
"graphic and design software",22200,10.67,0.4900,1,9,4,"bird.marketing"
"graphic creating software",22200,10.67,0.4900,1,6,3,"bird.marketing"
"graphic creation software",22200,10.67,0.4900,1,15,3,"bird.marketing"
"graphic creator software",22200,10.67,0.4900,1,7,3,"bird.marketing"
"graphic design computer program",22200,10.67,0.4900,1,62,4,"bird.marketing"
"graphic design computer software",22200,10.67,0.4900,1,10,4,"bird.marketing"
"graphics and design software",22200,10.67,0.4900,1,53,4,"bird.marketing"
"graphics art software",22200,10.67,0.4900,1,20,3,"bird.marketing"
