keyword,search_volume,cpc,competition,num_competitors,best_position,word_count,domains
"google business profile",246000,17.55,0.1100,1,55,3,"valveandmeter.com"
"google business profiles",246000,17.55,0.1100,1,44,3,"valveandmeter.com"
"gmb google",201000,14.80,0.1000,1,47,2,"valveandmeter.com"
"google gmb",201000,14.80,0.1000,1,41,2,"valveandmeter.com"
"google google business",201000,14.80,0.1000,1,71,3,"valveandmeter.com"
"hvac contractor",135000,15.87,0.0100,1,28,2,"hookagency.com"
"business facebook page",110000,6.14,0.3600,1,10,3,"scorpion.co"
"business website facebook",110000,5.53,0.3300,1,30,3,"scorpion.co"
"company facebook page",110000,5.53,0.3300,1,11,3,"scorpion.co"
"company pages on facebook",110000,5.53,0.3300,1,17,4,"scorpion.co"
"create a facebook business page",110000,5.53,0.3300,1,10,5,"scorpion.co"
"digital marketing",110000,15.16,0.4700,1,57,2,"scorpion.co"
"digitas marketing",110000,15.16,0.4700,1,64,2,"scorpion.co"
"facebook business page",110000,5.53,0.3300,1,14,3,"scorpion.co"
"seo service",110000,33.32,0.0400,1,78,2,"scorpion.co"
"seo services",110000,33.32,0.0400,1,67,2,"1seo.com"
"facebook sign page",60500,0.00,0.0000,1,55,3,"scorpion.co"
"marketing agency",60500,14.16,0.1100,1,49,2,"scorpion.co"
"agencies marketing",60500,14.16,0.1100,1,92,2,"hookagency.com"
"hvac companies",60500,21.87,0.2700,1,9,2,"hookagency.com"
"marketing agencies",60500,14.16,0.1100,1,32,2,"hookagency.com"
"digital marketing ads agency",49500,18.43,0.0700,1,68,4,"scorpion.co"
"digital marketing advertising agency",49500,18.43,0.0700,1,76,4,"scorpion.co"
"digital marketing agency",49500,18.43,0.0700,1,85,3,"scorpion.co"
"hvac service",49500,29.13,0.3800,1,36,2,"hookagency.com"
"facebook and sign up",40500,0.52,0.0000,1,79,4,"scorpion.co"
"sign up at facebook",40500,0.52,0.0000,1,81,4,"scorpion.co"
"air conditioning contractor",40500,16.22,0.0000,1,46,3,"hookagency.com"
"seo agency",40500,40.38,0.0700,1,40,2,"1seo.com"
"local service ads",40500,3.57,0.3700,1,24,3,"relentless-digital.com"
"local services ads",40500,3.57,0.3700,1,23,3,"relentless-digital.com"
"seo optimization agencies",40500,40.38,0.0700,1,77,3,"helium-seo.com"
"seo companies",33100,45.66,0.0900,1,84,2,"scorpion.co"
"seo company",33100,45.66,0.0900,3,50,2,"1seo.com|helium-seo.com|scorpion.co"
"hvac contractors",33100,20.71,0.0300,1,13,2,"hookagency.com"
"seo agency near me",33100,27.92,0.0300,1,5,4,"1seo.com"
"seo firms near me",33100,27.92,0.0300,2,6,4,"1seo.com|helium-seo.com"
"seo services near me",33100,27.92,0.0300,2,16,4,"helium-seo.com|1seo.com"
"digital marketing agency near me",27100,14.97,0.0500,1,31,5,"scorpion.co"
"google ad adwords",27100,6.98,0.5100,1,76,3,"scorpion.co"
"google adwords google adwords google adwords",27100,6.98,0.5100,1,34,6,"scorpion.co"
"internet marketing services",27100,17.15,0.0100,2,7,3,"scorpion.co|1seo.com"
"near me digital marketing agency",27100,14.97,0.0500,1,71,5,"scorpion.co"
"what is hvac",27100,9.64,0.0500,1,75,3,"hookagency.com"
"google local service ads",27100,5.58,0.3100,1,21,4,"relentless-digital.com"
"google local services ads",27100,5.58,0.3100,1,19,4,"relentless-digital.com"
"research keywords seo",27100,13.81,0.0400,1,81,3,"valveandmeter.com"
"ads for google",22200,10.73,0.4800,1,65,3,"scorpion.co"
"adwords google advertising",22200,10.73,0.4800,1,38,3,"scorpion.co"
"digital marketing jobs",22200,3.79,0.2900,1,59,3,"scorpion.co"
"google adwords ads",22200,10.73,0.4800,1,43,3,"scorpion.co"
"job in digital marketing",22200,3.79,0.2900,1,79,4,"scorpion.co"
"seo companies near me",22200,36.08,0.0600,1,62,4,"scorpion.co"
"web design company",22200,30.56,0.1300,1,96,3,"scorpion.co"
"websites design company",22200,30.56,0.1300,1,91,3,"scorpion.co"
"seo company near me",22200,36.08,0.0600,1,30,4,"1seo.com"
"email marketing",22200,67.69,0.4000,1,73,2,"relentless-digital.com"
"marketing by email",22200,67.69,0.4000,1,70,3,"relentless-digital.com"
"seo near me",22200,23.58,0.0400,1,4,3,"helium-seo.com"
"plumbers pay rates",18100,1.68,0.0100,1,34,3,"strictlyplumbers.com"
"home services",18100,18.06,0.1300,1,12,2,"scorpion.co"
"marketing search engine optimization",18100,28.29,0.2600,1,43,4,"scorpion.co"
"plumbers near me yelp",18100,17.61,0.0100,1,50,4,"scorpion.co"
"search engine optimization & marketing",18100,28.29,0.2600,2,26,5,"scorpion.co|1seo.com"
"tools for a plumber",18100,0.67,1.0000,2,34,4,"valveandmeter.com|scorpion.co"
"when create facebook",18100,0.00,0.0000,1,44,3,"scorpion.co"
"yelp plumbers near me",18100,17.61,0.0100,1,58,4,"scorpion.co"
"youtube and advertising",18100,51.26,0.3300,1,67,3,"scorpion.co"
"how much can a plumber earn",18100,1.06,0.0000,2,11,6,"hookagency.com|valveandmeter.com"
"how much can a plumber make",18100,1.06,0.0000,2,15,6,"hookagency.com|valveandmeter.com"
"how much can plumbers earn",18100,1.06,0.0000,1,37,5,"hookagency.com"
"how much can plumbers make",18100,1.06,0.0000,1,13,5,"hookagency.com"
"how much do plumber earn",18100,1.06,0.0000,2,24,5,"valveandmeter.com|hookagency.com"
"how much do plumbers make",18100,1.06,0.0000,1,22,5,"hookagency.com"
"how much does a plumber earn",18100,1.06,0.0000,2,13,6,"hookagency.com|valveandmeter.com"
"how much does a plumber make",18100,1.06,0.0000,2,21,6,"valveandmeter.com|hookagency.com"
"how much does plumber earn",18100,1.06,0.0000,2,12,5,"valveandmeter.com|hookagency.com"
"income of a plumber",18100,1.68,0.0100,1,20,4,"hookagency.com"
"plumber pay",18100,1.68,0.0100,1,17,2,"hookagency.com"
"plumbers income",18100,1.68,0.0100,1,14,2,"hookagency.com"
"plumbers pay rate",18100,1.68,0.0100,1,23,3,"hookagency.com"
"salary hvac tech",18100,11.45,0.0300,1,37,3,"hookagency.com"
"what does hvac stand for",18100,3.33,0.0200,1,85,5,"hookagency.com"
"what does hvac stands for",18100,3.33,0.0200,1,65,5,"hookagency.com"
"instagram marketing service",18100,6.42,0.0400,2,3,3,"1seo.com|helium-seo.com"
"instagram marketing services",18100,6.42,0.0400,2,8,3,"1seo.com|helium-seo.com"
"digital marketing near me",18100,14.91,0.0900,1,46,4,"helium-seo.com"
"businesses on facebook",14800,7.05,0.2200,1,23,3,"scorpion.co"
"company account on facebook",14800,5.81,0.3800,1,11,4,"scorpion.co"
"digital marketing platform for small businesses",14800,0.00,0.0000,1,33,6,"scorpion.co"
"digital marketing services",14800,18.27,0.0800,1,46,3,"scorpion.co"
"facebook account for company",14800,5.81,0.3800,1,12,4,"scorpion.co"
"facebook and businesses",14800,7.05,0.2200,1,78,3,"scorpion.co"
"facebook business",14800,7.05,0.2200,1,15,2,"scorpion.co"
"facebook business account",14800,5.81,0.3800,1,14,3,"scorpion.co"
"facebook for business website",14800,7.05,0.2200,1,23,4,"scorpion.co"
"funnels marketing",14800,14.45,0.1900,1,56,2,"scorpion.co"
"google lsa",14800,2.89,0.2800,3,39,2,"1seo.com|relentless-digital.com|scorpion.co"
"how can i create a business facebook page",14800,6.17,0.4600,1,13,8,"scorpion.co"
"how do i create a business facebook page",14800,6.17,0.4600,1,13,8,"scorpion.co"
"how do i create a business page on facebook",14800,6.17,0.4600,1,6,9,"scorpion.co"
"how do i create a facebook business page",14800,6.17,0.4600,1,11,8,"scorpion.co"
"how do you create a business page in facebook",14800,6.17,0.4600,1,12,9,"scorpion.co"
